Time Period,Date,Symbol,Sector,Open,Close,High,Low,Volume,Price to Earnings Ratio,Market Cap,Dividend Yield %,52 Week Change %,Debt to Equity,Revenue Growth,Profit Margin
1 Year,2024-02-01,CVX,Energy,142.06948799484405,141.78187561035156,142.86520925289147,140.4684637630765,8641100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-02,CVX,Energy,144.62921648447184,145.9522247314453,147.04514013546606,143.37332413574157,12838400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-05,CVX,Energy,145.3578157691996,146.0384979248047,147.16975477415787,144.56209451123954,8277800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-06,CVX,Energy,146.20149237661514,146.0576934814453,147.198532183135,145.53998820168334,6198200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-07,CVX,Energy,146.69999675998653,145.8467559814453,147.42860209639682,144.92639930988804,6252000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-08,CVX,Energy,145.6741980826369,147.69705200195312,147.92714485127388,145.3865856781296,9237000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-09,CVX,Energy,148.04219334432133,144.80178833007812,148.90503061252852,144.74426877124608,9194500.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-12,CVX,Energy,145.357820503985,145.798828125,146.30693701504993,145.13732400776453,6713000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-13,CVX,Energy,146.31651899601763,144.3799591064453,146.7479449018301,143.42126087766036,6987100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-14,CVX,Energy,145.03187815058314,144.7730255126953,145.91387883417582,143.88144311235686,5995100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-15,CVX,Energy,145.28667238060748,149.69635009765625,150.30691039298503,145.05406882778877,8950300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-16,CVX,Energy,150.57828295401416,149.86111450195312,150.96595556558586,149.33776017338084,7569000.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-20,CVX,Energy,150.67521483384604,149.25054931640625,150.81089655987844,149.0857939910954,6977900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-21,CVX,Energy,149.8029695111007,150.64613342285156,150.7721288719907,149.34746342842655,6630100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-22,CVX,Energy,150.04525583339574,150.6364288330078,151.79943186936688,149.0857827648589,8874900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-23,CVX,Energy,150.0936976689099,149.8901824951172,150.14215859206922,148.52366431829049,6561600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-26,CVX,Energy,149.77388156016744,149.68666076660156,150.7527419819564,149.08578669332792,6900800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-27,CVX,Energy,148.47521970174162,147.46730041503906,149.13425579505412,145.27699066854072,15093800.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-28,CVX,Energy,147.66111095943157,147.6417236328125,149.11484990372048,147.09899679305622,6715900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-02-29,CVX,Energy,148.194167003418,147.32191467285156,148.51399137913913,146.80826137529303,9334400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-01,CVX,Energy,148.32983255767363,148.09722900390625,149.58974259456852,147.55450216664624,7458700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-04,CVX,Energy,147.79678871579378,144.28843688964844,147.8840095009506,143.11574766581813,12503200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-05,CVX,Energy,144.23997625928453,144.97653198242188,145.97476484975408,143.72632302806298,6985500.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-06,CVX,Energy,146.17829987595334,143.75540161132812,147.7095733537802,143.571258977105,14692100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-07,CVX,Energy,143.9201570581683,144.76332092285156,146.10076549844356,143.87169613518935,8739300.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-08,CVX,Energy,144.7633181754252,145.25759887695312,145.36420699020454,143.81354621349274,7527400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-11,CVX,Energy,145.85847116771498,147.3122100830078,147.3897445997404,144.97653267660337,7577100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-12,CVX,Energy,147.14746498808336,147.2056121826172,147.86464822646275,146.1395309888367,6432900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-13,CVX,Energy,148.51398847651734,149.14393615722656,150.10340926563765,148.4267528934265,8065600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-14,CVX,Energy,149.02763143423002,150.89810180664062,150.92717540292284,148.04877106540388,9047200.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-15,CVX,Energy,150.40383338544868,150.7527313232422,152.19676920861752,149.6575765874631,20379100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-18,CVX,Energy,151.21792420391225,150.61705017089844,151.83818556359668,150.1615441174211,7242700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-19,CVX,Energy,150.51043609409513,151.7897186279297,152.00293484826824,150.2293716271958,7736700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-20,CVX,Energy,150.95625915889266,149.78358459472656,151.60559416655957,149.47344649591332,8449100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-21,CVX,Energy,150.17123568337638,150.08401489257812,150.8884189135126,149.647896150389,7899100.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-22,CVX,Energy,150.2972276309001,149.8901824951172,150.49105653533994,149.40560283991886,5973700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-25,CVX,Energy,150.68487516888646,151.64434814453125,152.45843836060752,150.48136000896565,6058700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-26,CVX,Energy,151.69281814650807,150.4813690185547,152.02232876014403,149.88048019511558,6677900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-27,CVX,Energy,150.09369451632426,151.52806091308594,151.61528170002225,150.07432197802544,7416900.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-03-28,CVX,Energy,152.30338311930697,152.8751983642578,153.31131710604913,151.54744002334925,8331600.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-01,CVX,Energy,153.38884199898962,154.17385864257812,154.66812454715688,152.09985839366402,6285700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-02,CVX,Energy,155.1139415435436,154.85226440429688,156.24785609601722,154.11570869508742,8815400.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
1 Year,2024-04-03,CVX,Energy,155.16240224510435,155.49191284179688,155.98617873683568,154.79411699692056,7819700.0,17.147093,278509944832,0.041500002,0.0856787,16.456,-0.064,0.087019995
