Time Period,Date,Symbol,Sector,Open,Close,High,Low,Volume,52 Week Change %
1 Year,2024-03-22,CVX,Energy,150.2972276309001,149.8901824951172,150.49105653533994,149.40560283991886,5973700.0,0.04715538
1 Year,2024-03-25,CVX,Energy,150.68489033113124,151.6443634033203,152.45845370131215,150.48137515073228,6058700.0,0.04715538
1 Year,2024-03-26,CVX,Energy,151.69281814650807,150.4813690185547,152.02232876014403,149.88048019511558,6677900.0,0.04715538
1 Year,2024-03-27,CVX,Energy,150.09369451632426,151.52806091308594,151.61528170002225,150.07432197802544,7416900.0,0.04715538
1 Year,2024-03-28,CVX,Energy,152.30338311930697,152.8751983642578,153.31131710604913,151.54744002334925,8331600.0,0.04715538
1 Year,2024-04-01,CVX,Energy,153.38885718008456,154.1738739013672,154.66813985486408,152.09987344718655,6285700.0,0.04715538
1 Year,2024-04-02,CVX,Energy,155.11395682811772,154.85227966308594,156.24787149232472,154.11572388129795,8815400.0,0.04715538
1 Year,2024-04-03,CVX,Energy,155.16241747155775,155.49192810058594,155.9861940441282,154.7941321872333,7819700.0,0.04715538
1 Year,2024-04-04,CVX,Energy,155.8408305349402,155.73422241210938,156.95535790146363,154.89105848766465,9269700.0,0.04715538
1 Year,2024-04-05,CVX,Energy,156.3544727487988,156.61614990234375,157.16856301738594,154.92980738467253,7429800.0,0.04715538
1 Year,2024-04-08,CVX,Energy,156.6645961645222,156.29632568359375,157.4883874912941,155.38531356830174,7253200.0,0.04715538
1 Year,2024-04-09,CVX,Energy,156.8584467100474,157.00381469726562,157.51746796970085,155.51131580509877,6577400.0,0.04715538
1 Year,2024-04-10,CVX,Energy,157.20734743836167,157.6531524658203,157.75007431780614,156.04434436732544,7525800.0,0.04715538
1 Year,2024-04-11,CVX,Energy,158.57384301901166,156.89720153808594,158.57384301901166,154.8716621108441,7682500.0,0.04715538
1 Year,2024-04-12,CVX,Energy,157.28485892048954,154.0575714111328,158.8161324146809,153.16593182660816,11058800.0,0.04715538
1 Year,2024-04-15,CVX,Energy,155.00734292342972,152.7298126220703,155.54038350334335,152.50691012072372,7236900.0,0.04715538
1 Year,2024-04-16,CVX,Energy,152.44876700352685,151.46022033691406,152.9430329427343,150.6267427137303,5541900.0,0.04715538
1 Year,2024-04-17,CVX,Energy,151.17916349710606,151.57650756835938,152.8461186647645,150.8399518291464,6733900.0,0.04715538
1 Year,2024-04-18,CVX,Energy,152.29368778212176,152.71043395996094,153.16592521377112,151.56681832634834,4979200.0,0.04715538
1 Year,2024-04-19,CVX,Energy,153.8540415763855,155.06549072265625,155.7923602104187,153.2725400708965,7733100.0,0.04715538
1 Year,2024-04-22,CVX,Energy,155.0170396313637,156.92628479003906,157.68222792220308,153.55361429359974,6779200.0,0.04715538
1 Year,2024-04-23,CVX,Energy,156.33507740497953,157.8275909423828,157.8275909423828,155.64698261379218,5597600.0,0.04715538
1 Year,2024-04-24,CVX,Energy,156.8875241758211,158.52540588378906,158.78706826723362,156.4707779551898,7610300.0,0.04715538
1 Year,2024-04-25,CVX,Energy,158.65138935148,160.1826629638672,160.4928010673273,157.65315636179065,9702600.0,0.04715538
1 Year,2024-04-26,CVX,Energy,160.13418554714488,160.77383422851562,161.8302143067752,158.26371521343006,9736400.0,0.04715538
1 Year,2024-04-29,CVX,Energy,160.79322646628495,161.2002716064453,161.95621469362848,159.6108509118297,6364000.0,0.04715538
1 Year,2024-04-30,CVX,Energy,160.8513714718563,156.29632568359375,160.99673945272312,155.98618760681458,8457300.0,0.04715538
1 Year,2024-05-01,CVX,Energy,155.8214364982277,154.7069091796875,156.47077147726048,153.9994122185432,7713700.0,0.04715538
1 Year,2024-05-02,CVX,Energy,155.46285643110224,155.77297973632812,156.7906000216034,154.9588894233872,8597100.0,0.04715538
1 Year,2024-05-03,CVX,Energy,155.70514391479193,155.3077850341797,155.70514391479193,152.19677702996404,11664500.0,0.04715538
1 Year,2024-05-06,CVX,Energy,155.77296848101383,157.2945556640625,158.9615108252763,155.77296848101383,8430300.0,0.04715538
1 Year,2024-05-07,CVX,Energy,157.30425450214912,157.6531524658203,158.11834482131582,157.02320479250764,6869900.0,0.04715538
1 Year,2024-05-08,CVX,Energy,156.95534495055736,157.5271453857422,158.05049968670923,156.55798609023003,6706400.0,0.04715538
1 Year,2024-05-09,CVX,Energy,157.99234694357745,160.34739685058594,160.40554404016194,157.71128247636443,6683300.0,0.04715538
1 Year,2024-05-10,CVX,Energy,160.91921036086237,160.7060089111328,161.28749564240945,159.93067848123272,5490900.0,0.04715538
1 Year,2024-05-13,CVX,Energy,161.34565316505825,159.45579528808594,161.7623993979387,157.95359525678015,6848300.0,0.04715538
1 Year,2024-05-14,CVX,Energy,159.2716453988937,158.5641632080078,160.105123038586,157.9923627357603,4924000.0,0.04715538
1 Year,2024-05-15,CVX,Energy,158.09895785671856,158.02142333984375,158.74829279882354,155.23023988513836,7603100.0,0.04715538
1 Year,2024-05-16,CVX,Energy,158.12911807002217,157.69837951660156,158.5892238032189,157.1012219652735,6409400.0,0.04715538
1 Year,2024-05-17,CVX,Energy,158.34448881180023,159.2451171875,159.5388039255066,157.7962815342028,5497900.0,0.04715538
1 Year,2024-05-20,CVX,Energy,159.29406590859313,157.74732971191406,159.56816954471066,157.6788112716486,4913800.0,0.04715538
1 Year,2024-05-21,CVX,Energy,157.1991167579442,156.60195922851562,158.06059383319263,156.37680587931288,4783300.0,0.04715538
1 Year,2024-05-22,CVX,Energy,156.1614283851517,154.2524871826172,156.1614283851517,153.2245911697058,6260500.0,0.04715538
1 Year,2024-05-23,CVX,Energy,154.5951201553014,153.63575744628906,155.26081107203376,153.0385999061071,6718400.0,0.04715538
1 Year,2024-05-24,CVX,Energy,154.75176486698837,154.4287109375,155.62302609347694,153.9881882836626,4476600.0,0.04715538
1 Year,2024-05-28,CVX,Energy,154.79090000654438,155.6915283203125,156.06353249204193,154.62448101854093,6928300.0,0.04715538
1 Year,2024-05-29,CVX,Energy,154.69301757464842,153.59658813476562,155.15312328992846,153.1462814373813,5909600.0,0.04715538
1 Year,2024-05-30,CVX,Energy,153.5476609749934,154.92796325683594,155.12376437485327,153.5084947763787,6371200.0,0.04715538
1 Year,2024-05-31,CVX,Energy,155.29017481067578,158.88290405273438,159.15700767780777,155.17269115883914,10334200.0,0.04715538
1 Year,2024-06-03,CVX,Energy,158.0899561251331,154.14480590820312,158.27594327196965,153.16586014841846,9009900.0,0.04715538
1 Year,2024-06-04,CVX,Energy,152.44144783331902,152.8428192138672,153.0581884942819,150.86534442893574,6360500.0,0.04715538
1 Year,2024-06-05,CVX,Energy,152.8721896433882,151.71702575683594,153.71408368357766,151.27650310572565,7058500.0,0.04715538
1 Year,2024-06-06,CVX,Energy,151.24713304435608,152.6470184326172,152.73513491118385,150.16050255896346,5215100.0,0.04715538
1 Year,2024-06-07,CVX,Energy,152.43166383653372,152.7938690185547,154.36997242380787,151.86387345490226,5887700.0,0.04715538
1 Year,2024-06-10,CVX,Energy,153.11691801342073,153.43997192382812,154.86922444408523,153.02881647536262,7075900.0,0.04715538
1 Year,2024-06-11,CVX,Energy,152.88196637475227,153.1952362060547,153.4497567408421,151.22754555481467,5132000.0,0.04715538
1 Year,2024-06-12,CVX,Energy,154.17417940923178,150.9730224609375,154.31123122372156,149.1913339350431,10017400.0,0.04715538
1 Year,2024-06-13,CVX,Energy,150.53249766078284,149.6220703125,150.84575254471594,149.02491278567754,6163000.0,0.04715538
1 Year,2024-06-14,CVX,Energy,149.90598010331684,149.35777282714844,150.06260008398783,148.77039935266632,6159100.0,0.04715538
1 Year,2024-06-17,CVX,Energy,149.289231442727,149.96470642089844,150.68911673804575,148.73122517814113,6321400.0,0.04715538
1 Year,2024-06-18,CVX,Energy,150.31713013462547,150.1017608642578,152.66659407269225,149.62207204616124,6942900.0,0.04715538
